STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 03,Minimal,Nov-17-2018,46,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 04,Low,Nov-24-2018,47,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 04,Low,Dec-01-2018,48,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 04,Low,Dec-08-2018,49,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 06,Moderate,Dec-15-2018,50,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 06,Moderate,Jan-19-2019,3,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 07,Moderate,Dec-22-2018,51,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"""Influenza & RSV Surveillance""",Level 07,Moderate,Jan-26-2019,4,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 08,High,Jan-05-2019,1,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 08,High,Jan-12-2019,2,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 09,High,Dec-29-2018,52,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 01,Minimal,Oct-06-2018,40,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 01,Minimal,Oct-13-2018,41,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 01,Minimal,Oct-20-2018,42,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 01,Minimal,Oct-27-2018,43,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 01,Minimal,Nov-10-2018,45,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"""Communicable Disease and Immunizations""",Level 10,High,Jan-26-2019,4,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 02,Minimal,Nov-03-2018,44,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 02,Minimal,Dec-01-2018,48,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 02,Minimal,Dec-08-2018,49,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 02,Minimal,Jan-12-2019,2,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 03,Minimal,Nov-17-2018,46,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 04,Low,Nov-24-2018,47,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 04,Low,Jan-05-2019,1,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 05,Low,Dec-15-2018,50,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 05,Low,Jan-19-2019,3,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 06,Moderate,Dec-22-2018,51,2018-19
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations""""",Level 07,Moderate,Dec-29-2018,52,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 01,Minimal,Oct-06-2018,40,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 01,Minimal,Oct-13-2018,41,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 01,Minimal,Oct-20-2018,42,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 01,Minimal,Oct-27-2018,43,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 01,Minimal,Nov-03-2018,44,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 01,Minimal,Nov-10-2018,45,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 02,Minimal,Nov-17-2018,46,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 02,Minimal,Nov-24-2018,47,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 03,Minimal,Dec-01-2018,48,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 03,Minimal,Dec-08-2018,49,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 04,Low,Dec-15-2018,50,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 04,Low,Jan-19-2019,3,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"""Influenza (Flu)""",Level 04,Low,Jan-26-2019,4,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 05,Low,Dec-22-2018,51,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 05,Low,Jan-12-2019,2,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 06,Moderate,Dec-29-2018,52,2018-19
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)""""",Level 06,Moderate,Jan-05-2019,1,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 01,Minimal,Oct-06-2018,40,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 10,High,Dec-15-2018,50,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 10,High,Dec-22-2018,51,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 10,High,Dec-29-2018,52,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 10,High,Jan-05-2019,1,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 10,High,Jan-12-2019,2,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 02,Minimal,Oct-13-2018,41,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 02,Minimal,Oct-27-2018,43,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 03,Minimal,Oct-20-2018,42,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 03,Minimal,Nov-03-2018,44,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 03,Minimal,Nov-10-2018,45,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 04,Low,Nov-17-2018,46,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 04,Low,Nov-24-2018,47,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 06,Moderate,Dec-01-2018,48,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 07,Moderate,Dec-08-2018,49,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance""""",Level 09,High,Jan-19-2019,3,2018-19
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"""Influenza Surveillance""",Level 09,High,Jan-26-2019,4,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 01,Minimal,Oct-06-2018,40,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 01,Minimal,Oct-13-2018,41,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 01,Minimal,Oct-20-2018,42,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 01,Minimal,Oct-27-2018,43,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 01,Minimal,Nov-03-2018,44,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 01,Minimal,Nov-24-2018,47,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 02,Minimal,Nov-10-2018,45,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 02,Minimal,Nov-17-2018,46,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 02,Minimal,Dec-01-2018,48,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 03,Minimal,Dec-15-2018,50,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 05,Low,Dec-08-2018,49,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 05,Low,Dec-22-2018,51,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 06,Moderate,Dec-29-2018,52,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 06,Moderate,Jan-12-2019,2,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 06,Moderate,Jan-19-2019,3,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"Flu Statistics""""",Level 07,Moderate,Jan-05-2019,1,2018-19
Connecticut,http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics,"""Flu Statistics""",Level 08,High,Jan-26-2019,4,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Oct-06-2018,40,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Oct-13-2018,41,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Oct-20-2018,42,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Oct-27-2018,43,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Nov-03-2018,44,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Nov-10-2018,45,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Nov-17-2018,46,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Nov-24-2018,47,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Dec-01-2018,48,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Dec-08-2018,49,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Dec-15-2018,50,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Dec-29-2018,52,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Jan-05-2019,1,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Jan-12-2019,2,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Jan-19-2019,3,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"""Weekly Influenza Surveillance Reports""",Level 01,Minimal,Jan-26-2019,4,2018-19
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports""""",Level 02,Minimal,Dec-22-2018,51,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Oct-06-2018,40,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Oct-13-2018,41,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Oct-20-2018,42,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Oct-27-2018,43,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Nov-03-2018,44,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Nov-10-2018,45,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Nov-17-2018,46,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 01,Minimal,Dec-01-2018,48,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 02,Minimal,Nov-24-2018,47,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 02,Minimal,Dec-08-2018,49,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 02,Minimal,Dec-15-2018,50,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 02,Minimal,Jan-12-2019,2,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 03,Minimal,Dec-22-2018,51,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 03,Minimal,Jan-05-2019,1,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 03,Minimal,Jan-19-2019,3,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"""Weekly Influenza Surveillance Reports""",Level 04,Low,Jan-26-2019,4,2018-19
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports""""",Level 05,Low,Dec-29-2018,52,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 10,High,Dec-15-2018,50,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 10,High,Dec-22-2018,51,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 10,High,Dec-29-2018,52,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 10,High,Jan-05-2019,1,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 03,Minimal,Oct-06-2018,40,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 03,Minimal,Oct-13-2018,41,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 04,Low,Oct-20-2018,42,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 05,Low,Oct-27-2018,43,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 06,Moderate,Nov-03-2018,44,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 06,Moderate,Nov-10-2018,45,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 07,Moderate,Nov-17-2018,46,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 08,High,Dec-01-2018,48,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 08,High,Dec-08-2018,49,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 08,High,Jan-12-2019,2,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 08,High,Jan-19-2019,3,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia""""",Level 09,High,Nov-24-2018,47,2018-19
Georgia,https://dph.georgia.gov/flu-activity-georgia,"""Weekly Influenza Surveillance in Georgia""",Level 09,High,Jan-26-2019,4,2018-19
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program""""",Level 01,Minimal,Oct-06-2018,40,2018-19
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program""""",Level 01,Minimal,Oct-13-2018,41,2018-19
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program""""",Level 01,Minimal,Oct-20-2018,42,2018-19
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program""""",Level 01,Minimal,Oct-27-2018,43,2018-19
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program""""",Level 01,Minimal,Nov-03-2018,44,2018-19
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program""""",Level 01,Minimal,Nov-10-2018,45,2018-19
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program""""",Level 01,Minimal,Nov-17-2018,46,2018-19
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program""""",Level 01,Minimal,Nov-24-2018,47,2018-19
